Board_State,Optimal_Moves
 O  XXXOO,2 3
 O  XXXO ,
 O  XX OX,
 O  XX O ,3
 O  XXX O,
 O  XX XO,3
 O  XX  O,3
 O  XX   ,
 OOOX XX ,8
 OO XOXX ,8
 OO X XXO,
 OO X XX ,0
 OOOX X X,0 7
 OO XOX X,0 7
 OO X XOX,0
 OO X X X,0
 OO X X  ,0
 O OXOXX ,2 8
 O OX XXO,2
 O OX XX ,
 O OXOX X,0 2 7
 O OX XOX,0 2
 O OX X X,
 O OX X  ,2
 O  XOXXO,2
 O  XOXX ,
 O  XOXOX,0 2
 O  XOX X,
 O  XOX  ,2
 O  X XOX,
 O  X XO ,2
 O  X XXO,2
 O  X X O,2
 O  X X  ,
 OOOX  XX,0 6
 OO XO XX,0 6
 OO X OXX,0
 OO X  XX,0
 OO X  X ,0
 O OXO XX,0 6
 O OX OXX,0
 O OX  XX,
 O OX  X ,6 8
 O  XOOXX,0
 O  XO XX,
 O  XO X ,6 8
 O  X OXX,0
 O  X OX ,0 2 3 5
 O  X  XO,0 2 3 5
 O  X  X ,0 2 6 8
 OO X   X,0
 O OX   X,0
 O  XO  X,0
 O  X O X,0
 O  X  OX,0
 O  X   X,
 O  X    ,0 2 3 5 6 8
  OOXXXOX,0
  OOXXXO ,0 1 8
  OOXXXXO,1
  OOXXX O,0 1 7
  OOXXX  ,0 1 7 8
  OOXXOXX,0
  OOXXOX ,1
  OOXX XO,1
  OOXX X ,1
  OOXXO X,0
  OOXX OX,0
  OOXX  X,0
  OOXX   ,0 1 6 7
  O XXOXO,1 3
  O XXOX ,
  O XXOOX,0 3
  O XXO X,
  O XXO  ,3
  O XXXOO,3
  O XXXO ,3
  O XX OX,
  O XX O ,3
  O XXX O,3
  O XX XO,
  O XX  O,3
  O XX   ,3
  OOXOXX ,1 8
  OOX XXO,1
  OOX XX ,
  OOXOX X,0 7
  OOX XOX,0
  OOX X X,
  OOX X  ,7 8
  O XOXX ,8
  O XOXOX,0
  O XOX X,
  O XOX  ,8
  O X XOX,0
  O X XO ,0 3
  O X XXO,5
  O X X O,5
  O X X  ,0 8
  OOXO XX,0 1 6
  OOX OXX,0 1
  OOX  XX,
  OOX  X ,1
  O XOOXX,0 1
  O XO XX,
  O XO X ,1
  O X OXX,
  O X OX ,1
  O X  XO,1
  O X  X ,1
  OOX   X,0
  O XO  X,0
  O X O X,0
  O X  OX,0
  O X   X,0
  O X    ,0 1 3 5 6 7 8
   OXXOXO,1
   OXXOX ,0
   OXXOOX,0 2
   OXXO X,0
   OXXO  ,0
   OXXXOO,2
   OXXXO ,2
   OXX OX,
   OXX O ,2 8
   OXXX O,2
   OXX XO,1
   OXX  O,0 1 6 7
   OXX   ,0 2 6 8
   OXOXXO,1 2
   OXOXX ,
   OXOXOX,0 2
   OXOX X,
   OXOX  ,2
   OX XOX,
   OX XO ,2
   OX XXO,
   OX X O,2
   OX X  ,
   OXOOXX,0 1
   OXO XX,
   OXO X ,1
   OX OXX,0
   OX OX ,1
   OX  XO,1
   OX  X ,
   OXO  X,0
   OX O X,0
   OX  OX,0
   OX   X,
   OX    ,0 1 2 6 7 8
    XOXOX,
    XOXO ,2
    XOXXO,2
    XOX O,2
    XOX  ,
    XOOXX,
    XOOX ,1
    XO XO,1
    XO X ,
    XOO X,0
    XO OX,0
    XO  X,
    XO   ,0 1 2 6 7 8
    XXOOX,
    XXOO ,3
    XXOXO,
    XXO O,3
    XXO  ,3
    X OXO,1
    X OX ,1
    X OOX,0
    X O X,0
    X O  ,0 1 2 3 5 7 8
    XXXOO,
    XX OO,3
    XX O ,
    X XOO,2
    X XO ,
    X  OX,
    X  O ,0 2 3 5 6 8
    XX  O,3
    X X O,2
    X  XO,1
    X   O,0 1 2 3 5 6 7
    X    ,0 2 6 8
OO O XXX ,8
OO  OXXX ,8
OO   XXXO,
OO   XXX ,2
OO O XX X,2 7
OO  OXX X,2 7
OO   XXOX,2
OO   XX X,2
OO   XX  ,2
O OO XXX ,8
O O OXXX ,8
O O  XXXO,
O O  XXX ,1
O OO XX X,7
O O OXX X,7
O O  XXOX,1
O O  XX X,1
O O  XX  ,1
O  OOXXX ,8
O  O XXXO,4
O  O XXX ,
O  OOXX X,2 7
O  O XXOX,2
O  O XX X,
O  O XX  ,2 8
O   OXXX ,8
O   OXXOX,2
O   OXX X,
O   OXX  ,8
O    XXOX,2
O    XXO ,2 4
O    XXXO,4
O    XX O,4
O    XX  ,2
OO O X XX,2 6
OO  OX XX,2 6
OO   XOXX,2
OO   X XX,2
OO   X X ,2
O OO X XX,6
O O OX XX,6
O O  XOXX,
O O  X XX,1
O O  X X ,
O  OOX XX,2 6
O  O X XX,6
O  O X X ,6
O   OXOXX,2
O   OX XX,
O   OX X ,8
O    XOXX,3
O    XOX ,
O    X XO,4
O    X X ,2 6
OO   X  X,2
O O  X  X,
O  O X  X,2
O   OX  X,2
O    XO X,2
O    X OX,2
O    X  X,2
O    X   ,2
 OOO XXX ,8
 OO OXXX ,8
 OO  XXXO,0
 OO  XXX ,0
 OOO XX X,7
 OO OXX X,7
 OO  XXOX,
 OO  XX X,0
 OO  XX  ,0
 O OOXXX ,8
 O O XXXO,0 2 4
 O O XXX ,8
 O OOXX X,2 7
 O O XXOX,2
 O O XX X,
 O O XX  ,2 8
 O  OXXXO,0
 O  OXXX ,8
 O  OXX X,7
 O  OXX  ,7
 O   XXOX,4
 O   XXO ,4
 O   XXXO,0
 O   XX O,3 4
 O   XX  ,4
 OOO X XX,6
 OO OX XX,6
 OO  XOXX,
 OO  X XX,0
 OO  X X ,0
 O OOX XX,2 6
 O O XOXX,2
 O O X XX,
 O O X X ,8
 O  OXOXX,2
 O  OX XX,
 O  OX X ,8
 O   XOXX,2
 O   XOX ,0 2 3 4
 O   X XO,0 2 3 4
 O   X X ,6 8
 OO  X  X,
 O O X  X,2
 O  OX  X,2
 O   XO X,2
 O   X OX,2
 O   X  X,2
 O   X   ,2 4
  OOOXXX ,8
  OO XXXO,0 1 4
  OO XXX ,8
  OOOXX X,7
  OO XXOX,0 1 4
  OO XX X,7
  OO XX  ,0 1 4 7 8
  O OXXXO,0
  O OXXX ,8
  O OXXOX,1
  O OXX X,7
  O OXX  ,0 1 7 8
  O  XXOX,1
  O  XXO ,3
  O  XXXO,0
  O  XX O,3
  O  XX  ,0 3 4
  OOOX XX,6
  OO XOXX,
  OO X XX,6
  OO X X ,0 1 4 6
  O OX XX,6
  O OX X ,6
  O  XOXX,4
  O  XOX ,4
  O  X XO,4
  O  X X ,0
  OO X  X,0 6
  O OX  X,6
  O  XO X,4
  O  X OX,4
  O  X  X,0 1
  O  X   ,0 1 4 6
   OOXXXO,0
   OOXXX ,8
   OOXXOX,2
   OOXX X,
   OOXX  ,8
   O XXOX,2
   O XXO ,2
   O XXXO,1 2 4
   O XX O,0 1 2 4 7
   O XX  ,2 8
   OOXOXX,2
   OOX XX,
   OOX X ,8
   O XOXX,0
   O XOX ,0
   O X XO,0 1 4 6
   O X X ,2 8
   OOX  X,2
   O XO X,2
   O X OX,2
   O X  X,2
   O X   ,0 1 2 4 6 7 8
    OXXOX,1
    OXXO ,1
    OXXXO,0
    OXX O,0
    OXX  ,1 2 7 8
    OXOXX,2
    OXOX ,2
    OX XO,0
    OX X ,2 6 8
    OXO X,2
    OX OX,2
    OX  X,2
    OX   ,0 1 2 6 7 8
     XOXO,4
     XOX ,0
     XOOX,2
     XO X,
     XO  ,8
     XXOO,3 4
     XXO ,4
     X OX,
     X O ,4 8
     XX O,3 4
     X XO,1 3 4
     X  O,0 4 6 7
     X   ,2 3 4 8
OO    XX ,8
O O   XX ,8
O  O  XX ,8
O   O XX ,8
O    OXX ,8
O     XXO,4
O     XX ,
OO    X X,7
O O   X X,7
O  O  X X,7
O   O X X,7
O    OX X,7
O     XOX,2
O     X X,
O     X  ,2 7 8
 OO   XX ,8
 O O  XX ,8
 O  O XX ,8
 O   OXX ,8
 O    XXO,0 2
 O    XX ,8
 OO   X X,7
 O O  X X,7
 O  O X X,7
 O   OX X,7
 O    XOX,4
 O    X X,
 O    X  ,0 4 8
  OO  XX ,8
  O O XX ,8
  O  OXX ,8
  O   XXO,
  O   XX ,8
  OO  X X,7
  O O X X,7
  O  OX X,7
  O   XOX,0
  O   X X,
  O   X  ,0 8
   OO XX ,8
   O OXX ,8
   O  XXO,4
   O  XX ,
   OO X X,7
   O OX X,7
   O  XOX,2 4
   O  X X,
   O  X  ,4 7 8
    OOXX ,8
    O XXO,0
    O XX ,8
    OOX X,7
    O XOX,1
    O X X,7
    O X  ,0 1 2 3 5 7 8
     OXXO,
     OXX ,8
     OXOX,0 4
     OX X,
     OX  ,0 4 8
      XOX,4
      XO ,0 3 4
      XXO,2 5
      X O,0 2 3
      X  ,4
OO     XX,6
O O    XX,6
O  O   XX,6
O   O  XX,6
O    O XX,6
O     OXX,
O      XX,6
O      X ,6
 OO    XX,6
 O O   XX,6
 O  O  XX,6
 O   O XX,6
 O    OXX,0 2
 O     XX,6
 O     X ,0 2 3 4 5 6 8
  OO   XX,6
  O O  XX,6
  O  O XX,6
  O   OXX,4
  O    XX,
  O    X ,8
   OO  XX,6
   O O XX,6
   O  OXX,
   O   XX,6
   O   X ,4 6
    OO XX,6
    O OXX,2
    O  XX,6
    O  X ,0 2 3 5 6 8
     OOXX,4
     O XX,
     O X ,4 8
      OXX,0 3
      OX ,0 2 3 4
       XO,0 2 4 5
       X ,1 4 6 8
O       X,2 6
 O      X,2 4 6
  O     X,0 6 7
   O    X,2 4 6
    O   X,0 1 2 3 5 6 7
     O  X,4 6 7
      O X,0 2 5
       OX,2 4 5
        X,4
         ,0 1 2 3 4 5 6 7 8
