Board_State,Optimal_Moves
XX O  X O,2
XX O   XO,
XX O    O,2
XX O     ,
X XOOXOXO,1
X XOOXOX ,
X XOOXO  ,1 8
X XOOXXOO,1
X XOOXXO ,1
X XOOX O ,1 8
X XOOXX O,1
X XOOX XO,1
X XOOX  O,1
X XOOX   ,
X XOO XOX,1 5
X XOO XO ,1
X XOO XXO,5
X XOO X O,1
X XOO X  ,5
X XOO OXX,5
X XOO OX ,1
X XOO  XO,1
X XOO  X ,5
X XOO O X,1 5
X XOO  OX,1 5
X XOO   X,5
X XOO    ,1
X XOXOOXO,1
X XOXOOX ,
X XOXOO  ,1 8
X XOXO O ,1 6 8
X XOXO XO,
X XOXO  O,1 6
X XOXO   ,
X XO OXOX,4
X XO OXO ,1 4
X XO OXXO,4
X XO OX O,1 4
X XO OX  ,4
X XO OOXX,4
X XO OOX ,1
X XO O XO,1
X XO O X ,4
X XO OO X,1 4
X XO O OX,1 4
X XO O  X,4
X XO O   ,1
X XOXXOO ,8
X XOX OO ,1 8
X XOXXO O,7
X XOX OXO,1
X XOX O O,1
X XOX O  ,
X XO XOO ,1 8
X XO XOXO,1
X XO XO O,1
X XO XO  ,
X XO  OXO,1
X XO  OX ,
X XO  OOX,1 4 5
X XO  O X,
X XO  O  ,1
X XOXX OO,6
X XOX  OO,1 6
X XOX  O ,
X XO XXOO,
X XO X OO,1
X XO X O ,
X XO  XOO,1 4
X XO  XO ,
X XO   OX,
X XO   O ,1
X XOX   O,
X XO X  O,1
X XO  X O,
X XO   XO,1
X XO    O,1
X XO     ,
X  OXOXO ,2 8
X  OXOXXO,2
X  OXOX O,2
X  OXOX  ,
X  OXOOX ,1 8
X  OXO XO,1
X  OXO X ,
X  OXO   ,8
X  OXXOO ,8
X  OXXOXO,1
X  OXXO O,7
X  OXXO  ,8
X  OX OXO,1
X  OX OX ,
X  OX O  ,8
X  OXXXOO,2
X  OXX OO,6
X  OXX O ,8
X  OX XOO,2
X  OX XO ,
X  OX  O ,8
X  OXX  O,1 2 6 7
X  OX X O,2
X  OX  XO,1
X  OX   O,1 2
X  OX    ,
X  OOXXOX,1
X  OOXXO ,1
X  OOXXXO,1 2
X  OOXX O,1 2 7
X  OOXX  ,1 2 7 8
X  OOXOXX,2
X  OOXOX ,2
X  OOX XO,1 2 6
X  OOX X ,2 8
X  OOXO X,2
X  OOX OX,2
X  OOX  X,2
X  OOX   ,2
X  O XOXO,1
X  O XOX ,
X  O XOOX,2 4
X  O XO X,
X  O XO  ,2 8
X  O XXOO,2
