Board_State,Win_Moves,Draw_Moves,Lose_Moves
O  X X  O,4,,1 2 6 7
O  X X   ,4,,1 2 6 7 8
OO XO XX ,8,,2 5
OO X OXX ,2 8,,4
OO X  XXO,,,2 4 5
OO X  XX ,2 8,,4 5
OO XO X X,7,,2 5
OO X OX X,2 7,,4
OO X  XOX,,,2 4 5
OO X  X X,2 7,,4 5
OO X  X  ,,,2 4 5 7 8
O OXO XX ,8,,1 5
O OX OXX ,8,,1 4
O OX  XXO,,,1 4 5
O OX  XX ,1 8,,4 5
O OXO X X,7,1,5
O OX OX X,7,1,4
O OX  XOX,,1,4 5
O OX  X X,1,7,4 5
O OX  X  ,,,1 4 5 7 8
O  XOOXX ,8,,1 2
O  XO XX ,8,,1 2 5
O  XOOX X,7,1 2,
O  XO XOX,,1,2 5
O  XO X X,,7,1 2 5
O  XO X  ,,8,1 2 5 7
O  X OXXO,,,1 2 4
O  X OXX ,8,,1 2 4
O  X OXOX,,1 2 4,
O  X OX X,,7,1 2 4
O  X OX  ,,2 8,1 4 7
O  X  XOX,1,2 4 5,
O  X  XO ,4,1,2 5 8
O  X  XXO,1 2 4 5,,
O  X  X O,4,,1 2 5 7
O  X  X  ,1 2,4 5,7 8
OO XO  XX,2 6,,5
OO X O XX,6,2,4
OO X  OXX,,2,4 5
OO X   XX,2,6,4 5
OO X   X ,2,,4 5 6 8
O OXO  XX,6,,1 5
O OX O XX,1 6,,4
O OX  OXX,,,1 4 5
O OX   XX,1 6,,4 5
O OX   X ,,,1 4 5 6 8
O  XOO XX,6,1 2,
O  XO OXX,,2,1 5
O  XO  XX,,6,1 2 5
O  XO  X ,,8,1 2 5 6
O  X OOXX,,1 2 4,
O  X O XX,,6,1 2 4
O  X O X ,,1 2 4 8,6
O  X  OXX,2,1 4 5,
O  X  OX ,4,2,1 5 8
O  X   XO,4,,1 2 5 6
O  X   X ,2,4 5,1 6 8
OO X    X,2,,4 5 6 7
O OX    X,,1,4 5 6 7
O  XO   X,,1 2 6 7,5
O  X O  X,,1 2 4 6 7,
O  X  O X,5,1 2 4,7
O  X   OX,5,1 2 4,6
O  X    X,,2 4 5,1 6 7
O  X     ,,1 2 4 8,5 6 7
 OOXXOXX ,0 8,,
 OOXXOXOX,0,,
 OOXXOX X,0,,7
 OOXXOX  ,0,,7 8
 OOXX XOX,0,,5
 OOXX XO ,0 5,,8
 OOXX XXO,0 5,,
 OOXX X O,0 5,,7
 OOXX X  ,0,,5 7 8
 OOXXOOXX,0,,
 OOXXO XX,0,,6
 OOXXO X ,,,0 6 8
 OOXX OXX,0,,5
 OOXX OX ,0 5,,8
 OOXX  XO,5,,0 6
 OOXX  X ,0 5,,6 8
 OOXXO  X,0,,6 7
 OOXX O X,0 5,,7
 OOXX  OX,0 5,,6
 OOXX   X,0,,5 6 7
 OOXX    ,0 5,,6 7 8
 O XXOXOX,,,0 2
 O XXOXO ,0 2 8,,
 O XXOXXO,2,,0
 O XXOX O,0 2,,7
 O XXOX  ,,,0 2 7 8
 O XXOOXX,,0,2
 O XXOOX ,,0 2 8,
 O XXO XO,,2,0 6
 O XXO X ,2,0 6 8,
 O XXOO X,0,2 7,
 O XXO OX,0 2 6,,
 O XXO  X,,0,2 6 7
 O XXO   ,0 6,2 8,7
 O XX OXO,5,0 2,
 O XX OX ,,5,0 2 8
 O XX OOX,0 2 5,,
 O XX O X,,,0 2 5 7
 O XX O  ,0 5 8,2 7,
 O XX XOO,0 2 5,,
 O XX XO ,,,0 2 5 8
 O XX  OX,,,0 2 5 6
 O XX  O ,0 2 5 6 8,,
 O XX X O,,,0 2 5 7
 O XX  XO,,5,0 2 6
 O XX   O,0 2 5 6,7,
 O XX    ,,,0 2 5 6 7 8
 OOXOXXXO,0,,
 OOXOXXX ,0,,8
 OOXOXX X,0 7,,
 OOXOXX  ,0,,7 8
 OOX XXOX,0 4,,
 OOX XXO ,0 4,,8
 OOX XXXO,0,,4
 OOX XX O,0 4,,7
 OOX XX  ,0,,4 7 8
 OOXOX XX,0 6,,
 OOXOX X ,,,0 6 8
 OOX XOXX,0 4,,
 OOX XOX ,4,,0 8
 OOX X XO,0 4,,6
 OOX X X ,0 4,,6 8
 OOXOX  X,,,0 6 7
 OOX XO X,4,,0 7
 OOX X OX,4,,0 6
 OOX X  X,0 4,,6 7
 OOX X   ,0 4,,6 7 8
 O XOXXXO,0,,2
 O XOXX O,0,,2 7
 O XOXX  ,0 7,,2 8
 O XOXOXX,2,,0
 O XOXOX ,,2,0 8
 O XOX XO,,0,2 6
 O XOX X ,0 2,6 8,
 O XOXO X,2,,0 7
 O XOX  X,2 7,,0 6
 O XOX   ,,,0 2 6 7 8
 O X XOXO,4,0 2,
 O X XOX ,,4,0 2 8
 O X XOOX,2 4,,0
 O X XO X,,,0 2 4 7
 O X XO  ,2 4 8,7,0
 O X XXOO,0 4,,2
 O X XXO ,4,,0 2 8
 O X X OX,4,,0 2 6
 O X X O ,4,,0 2 6 8
 O X XX O,,,0 2 4 7
 O X X XO,,4,0 2 6
 O X X  O,0 4 6,7,2
 O X X   ,4,,0 2 6 7 8
 OOXO XX ,0 8,,5
 OOX OXX ,0 8,,4
 OOX  XXO,0,,4 5
 OOX  XX ,0,,4 5 8
 OOXO X X,0 7,,5
 OOX OX X,0 7,,4
 OOX  XOX,0,,4 5
 OOX  X X,0,,4 5 7
 OOX  X  ,0,,4 5 7 8
 O XOOXX ,0 2 8,,
 O XO XXO,0,,2 5
 O XO XX ,,,0 2 5 8
 O XOOX X,0 7,,2
 O XO X X,7,,0 2 5
 O XO X  ,0 7,,2 5 8
 O X OXXO,0 2,,4
 O X OXX ,,,0 2 4 8
 O X OXOX,0 4,,2
 O X OX X,,,0 2 4 7
 O X OX  ,0 2 4 7 8,,
 O X  XOX,0 4,,2 5
 O X  XO ,0 4,,2 5 8
 O X  XXO,0,,2 4 5
 O X  X O,0 2 4 5,,7
 O X  X  ,0,,2 4 5 7 8
 OOXO  XX,6,,0 5
 OOX O XX,0 6,,4
 OOX  OXX,,,0 4 5
 OOX   XX,0 6,,4 5
 OOX   X ,0,,4 5 6 8
 O XOO XX,6,0 2,
 O XO OXX,,2,0 5
 O XO  XX,,6,0 2 5
 O XO  X ,6,0 2 8,5
 O X OOXX,,0 2 4,
 O X O XX,,6,0 2 4
 O X O X ,6,0 2 8,4
 O X  OXX,2,0 4 5,
 O X  OX ,,0 2 4 5,8
 O X   XO,,0 2 4 5,6
 O X   X ,,6 8,0 2 4 5
 OOX    X,0,,4 5 6 7
 O XO   X,,7,0 2 5 6
 O X O  X,0 6,2 4 7,
 O X  O X,4 5,2,0 7
 O X   OX,4,,0 2 5 6
 O X    X,,4,0 2 5 6 7
 O X     ,0 4,2 7 8,5 6
  OXXOXOX,,0,1
  OXXOXO ,0,8,1
  OXXOX  ,0 8,,1 7
  OXXOOXX,,,0 1
  OXXOOX ,1 8,,0
  OXXO X ,1 8,,0 6
  OXXOO X,0 1 7,,
  OXXO OX,0,1 6,
  OXXO  X,,0,1 6 7
  OXXO   ,,8,0 1 6 7
  OXX OXO,1 5,,0
  OXX OX ,,,0 1 5 8
  OXX OOX,0 1 5,,
  OXX O X,,,0 1 5 7
  OXX O  ,0 1 5 7 8,,
  OXX XOO,0 5,,1
  OXX XO ,,,0 1 5 8
  OXX  OX,,,0 1 5 6
  OXX  O ,0 5 6 8,1,
  OXX X O,5,,0 1 7
  OXX  XO,5,,0 1 6
  OXX   O,5,,0 1 6 7
  OXX    ,,5,0 1 6 7 8
  OXOXXOX,1,0,
  OXOXXO ,0,1,8
  OXOXXXO,0,,1
  OXOXX O,0,,1 7
  OXOXX  ,0,,1 7 8
  OXOX XO,,,0 1 6
  OXOX X ,0 1 6 8,,
  OXOX OX,,,0 1 6
  OXOX  X,0 1 6 7,,
  OXOX   ,,,0 1 6 7 8
  OX XOXO,4,,0 1
  OX XOX ,4,,0 1 8
  OX XOOX,4,,0 1
  OX XO X,4,,0 1 7
  OX XO  ,4,,0 1 7 8
  OX XXOO,0 1 4,,
  OX XXO ,,,0 1 4 8
  OX X OX,4,,0 1 6
  OX X O ,0 4 6,1,8
  OX XX O,,,0 1 4 7
  OX X XO,4,,0 1 6
  OX X  O,0 4 6,,1 7
  OX X   ,4,,0 1 6 7 8
  OXOOXX ,0 8,,1
  OXO XXO,0,,1 5
  OXO XX ,,,0 1 5 8
  OXOOX X,0 1 7,,
  OXO XOX,0,1,5
  OXO X X,,,0 1 5 7
  OXO X  ,0 7 8,1,5
  OX OXX ,8,,0 1 4
  OX OXOX,0,1 4,
  OX OX X,,,0 1 4 7
  OX OX  ,0 8,,1 4 7
  OX  XOX,,0,1 4 5
  OX  XO ,0 4 5,1 8,
  OX  XXO,0 5,,1 4
  OX  X O,0 5,,1 4 7
  OX  X  ,0,,1 4 5 7 8
  OXOO XX,6,,0 1
  OXO  XX,6,,0 1 5
  OXO  X ,6,,0 1 5 8
  OX OOXX,4,,0 1
  OX O XX,,,0 1 4 6
  OX O X ,8,,0 1 4 6
  OX  OXX,0 1 4,,5
  OX  OX ,4,,0 1 5 8
  OX   XO,,,0 1 4 5 6
  OX   X ,0 8,,1 4 5 6
  OXO   X,6,,0 1 5 7
  OX O  X,0 1 6 7,4,
  OX  O X,4,,0 1 5 7
  OX   OX,0 4,1 6,5
  OX    X,,0,1 4 5 6 7
  OX     ,0,4 8,1 5 6 7
   XOXOXO,,,0 1 2
   XOXOX ,0 2 8,1,
   XOXOOX,2,,0 1
   XOXO X,2,,0 1 7
   XOXO  ,,,0 1 2 7 8
   XOXXOO,0,,1 2
   XOXXO ,0 1,,2 8
   XOX OX,1 2,,0 6
   XOX O ,,,0 1 2 6 8
   XOXX O,0,,1 2 7
   XOX XO,0 2 6,1,
   XOX  O,,,0 1 2 6 7
   XOX   ,0 1 2 6 7 8,,
   XOOXXO,0,,1 2
   XOOXX ,,,0 1 2 8
   XOOXOX,0,1,2
   XOOX X,,,0 1 2 7
   XOOX  ,0 7 8,1 2,
   XO XOX,1,0,2 5
   XO XO ,0,1,2 5 8
   XO XXO,0,,1 2 5
   XO X O,0,,1 2 5 7
   XO X  ,,0,1 2 5 7 8
   XOOOXX,,2,0 1
   XOO XX,,6,0 1 2
   XOO X ,6,0 2 8,1
   XO OXX,2,0 1 5,
   XO OX ,,2,0 1 5 8
   XO  XO,,0,1 2 5 6
   XO  X ,,0 6 8,1 2 5
   XOO  X,6,0 1 2 7,
   XO O X,,2,0 1 5 7
   XO  OX,,1,0 2 5 6
   XO   X,,0 1 6 7,2 5
   XO    ,,0 1 2 6 7 8,5
   XXOOXO,1,2,0
   XXOOX ,,1,0 2 8
   XXOOOX,0,1 2,
   XXOO X,,0,1 2 7
   XXOO  ,,1 2 7 8,0
   XXOXOO,0 2,,1
   XXOXO ,,,0 1 2 8
   XXO OX,,0,1 2 6
   XXO O ,0 6,2 8,1
   XXOX O,2,,0 1 7
   XXO XO,2,1,0 6
   XXO  O,,2,0 1 6 7
   XXO   ,,0 2 6 8,1 7
   X OXOX,,0,1 2 4
   X OXO ,0 2 4,1 8,
   X OXXO,0 2,,1 4
   X OX O,0 2,,1 4 7
   X OX  ,,0,1 2 4 7 8
   X OOXX,,0 1 4,2
   X OOX ,,1 2 4 8,0
   X O XO,2,,0 1 4 6
   X O X ,,0 6,1 2 4 8
   X OO X,,0 1 2 4 7,
   X O OX,0,1 2 4 6,
   X O  X,,0 6,1 2 4 7
   X O   ,,0 1 2 4 6 7 8,
   XX OOX,,,0 1 2 5
   XX OO ,5 8,,0 1 2
   XX OXO,,,0 1 2 5
   XX O O,5 7,,0 1 2
   XX O  ,,5,0 1 2 7 8
   X XOOX,,,0 1 2 4
   X XOO ,4 8,,0 1 2
   X XOXO,4,,0 1 2
   X XO O,4,,0 1 2 7
   X XO  ,4,,0 1 2 7 8
   X  OXO,4,2,0 1 5
   X  OX ,,1 4 5,0 2 8
   X  OOX,1 2 4 5,,0
   X  O X,,4 5,0 1 2 7
   X  O  ,,2 4 7 8,0 1 5
   XX XOO,,,0 1 2 5
   XX  OO,5 6,,0 1 2
   XX  O ,,,0 1 2 5 6 8
   X XXOO,,,0 1 2 4
   X X OO,4 6,,0 1 2
   X X O ,4,,0 1 2 6 8
   X  XOO,0 1 2 4 5,,
   X  XO ,,,0 1 2 4 5 8
   X   OX,,4,0 1 2 5 6
   X   O ,4 6,1 2 8,0 5
   XX   O,,5,0 1 2 6 7
   X X  O,4,,0 1 2 6 7
   X  X O,,,0 1 2 4 5 7
   X   XO,2,1 4,0 5 6
   X    O,6,2 4,0 1 5 7
   X     ,,0 4 5 6,1 2 7 8
OO OXXXXO,2,,
OO OXXXX ,2,,8
OO OXXXOX,2,,
OO OXXX X,2,,7
OO OXXX  ,2,,7 8
OO  XXXOX,2,,3
OO  XXXO ,2 3,,8
OO  XXXXO,2,,3
OO  XXX O,2 3,,7
OO  XXX  ,2,,3 7 8
OO OXX XX,2 6,,
OO OXX X ,,,2 6 8
OO  XXOXX,2 3,,
OO  XXOX ,3,,2 8
OO  XX XO,2 3,,6
OO  XX X ,2 3,,6 8
OO OXX  X,2,,6 7
OO  XXO X,2 3,,7
OO  XX OX,2 3,,6
OO  XX  X,2,,3 6 7
OO  XX   ,2 3,,6 7 8
O OOXXXXO,1,,
O OOXXXX ,1,,8
O OOXXXOX,,1,
O OOXXX X,1,7,
O OOXXX  ,,1,7 8
O O XXXOX,1,3,
O O XXXO ,3,1,8
O O XXXXO,1,,3
O O XXX O,1 3,,7
O O XXX  ,1,3,7 8
O OOXX XX,1 6,,
O OOXX X ,1,,6 8
O O XXOXX,1 3,,
O O XXOX ,1 3,,8
O O XX XO,1 3,,6
O O XX X ,1,,3 6 8
O OOXX  X,,,1 6 7
O O XXO X,3,,1 7
O O XX OX,3,1,6
O O XX  X,1 3,,6 7
O O XX   ,1 3,,6 7 8
O  OXXXOX,,2,1
O  OXXXO ,2,1 8,
O  OXXXXO,,,1 2
O  OXXX O,1 2 7,,
O  OXXX  ,,2,1 7 8
O  OXX XO,1 6,,2
O  OXX X ,1 6,,2 8
O  OXX OX,2,6,1
O  OXX  X,2 6,,1 7
O  OXX   ,,6,1 2 7 8
O   XXOXO,1 3,,2
O   XXOX ,3,,1 2 8
O   XXOOX,2 3,,1
O   XXO X,3,,1 2 7
O   XXO  ,3,,1 2 7 8
O   XXXOO,1 2 3,,
O   XXXO ,,,1 2 3 8
O   XX OX,,,1 2 3 6
O   XX O ,2 3 6 8,1,
O   XXX O,,,1 2 3 7
O   XX XO,,,1 2 3 6
O   XX  O,1 2 3 6 7,,
O   XX   ,,3,1 2 6 7 8
OO OX XX ,2 8,,5
OO  XOXX ,2 8,,3
OO  X XXO,2,,3 5
OO  X XX ,2,,3 5 8
OO OX X X,2 7,,5
OO  XOX X,2 7,,3
OO  X XOX,2,,3 5
OO  X X X,2,,3 5 7
OO  X X  ,2,,3 5 7 8
O OOX XX ,1 8,,5
O O XOXX ,1 8,,3
O O X XXO,1,,3 5
O O X XX ,1,,3 5 8
O OOX X X,7,1,5
O O XOX X,7,1,3
O O X XOX,,1,3 5
O O X X X,1,7,3 5
O O X X  ,,1,3 5 7 8
O  OXOXX ,1 2 8,,
O  OX XXO,1 2 5,,
O  OX XX ,,,1 2 5 8
O  OXOX X,1 2 7,,
O  OX XOX,2,1 5,
O  OX X X,,,1 2 5 7
O  OX X  ,1 2 7 8,5,
O   XOXXO,1 2,,3
O   XOXX ,,,1 2 3 8
O   XOXOX,2,1 3,
O   XOX X,,,1 2 3 7
O   XOX  ,1 2 7 8,,3
O   X XOX,,2,1 3 5
O   X XO ,2 3 5,1 8,
O   X XXO,,,1 2 3 5
O   X X O,1 2 3 5 7,,
O   X X  ,,2,1 3 5 7 8
OO OX  XX,6,,2 5
OO  XO XX,6,2,3
OO  X OXX,,,2 3 5
OO  X  XX,2 6,,3 5
OO  X  X ,,2,3 5 6 8
O OOX  XX,1 6,,5
O O XO XX,1 6,,3
O O X OXX,1,,3 5
O O X  XX,1,,3 5 6
O O X  X ,1,,3 5 6 8
O  OXO XX,1 6,,2
O  OX  XX,6,,1 2 5
O  OX  X ,1 6,,2 5 8
O   XOOXX,1,3,2
O   XO XX,,,1 2 3 6
O   XO X ,1 2 6 8,3,
O   X OXX,1 3,,2 5
O   X OX ,1 3,,2 5 8
O   X  XO,1 2 3 5 6,,
O   X  X ,,1,2 3 5 6 8
OO  X   X,2,,3 5 6 7
O O X   X,,1,3 5 6 7
O  OX   X,6,,1 2 5 7
O   XO  X,6 7,1 2 3,
O   X O X,,3,1 2 5 7
O   X  OX,2 5,1 3 6,
O   X   X,,2 6,1 3 5 7
O   X    ,,1 2 3 5 6 7 8,
 OOOXXXXO,,0,
 OOOXXXX ,0,8,
 OOOXXXOX,0,,
 OOOXXX X,0,,7
 OOOXXX  ,,0,7 8
 OO XXXOX,0,,3
 OO XXXO ,0 3,,8
 OO XXXXO,0,3,
 OO XXX O,3,0,7
 OO XXX  ,0,3,7 8
 OOOXXOXX,0,,
 OOOXX XX,0,,6
 OOOXX X ,,0,6 8
 OO XXOXX,0,,3
 OO XXOX ,0 3,,8
 OO XX XO,3,0,6
 OO XX X ,0,3,6 8
 OOOXX  X,0,,6 7
 OO XXO X,0 3,,7
 OO XX OX,0 3,,6
 OO XX  X,0,,3 6 7
 OO XX   ,0 3,,6 7 8
 O OXXXOX,,,0 2
 O OXXXO ,0 2 8,,
 O OXXXXO,,2,0
 O OXXX O,2,0 7,
 O OXXX  ,,2,0 7 8
 O OXXOXX,0,,2
 O OXXOX ,,0,2 8
 O OXX XO,,0 2 6,
 O OXX X ,0,2 6 8,
 O OXXO X,0 2,,7
 O OXX OX,0 2 6,,
 O OXX  X,,,0 2 6 7
 O OXX   ,2 8,0 6,7
 O  XXOXO,3,0 2,
 O  XXOX ,,3,0 2 8
 O  XXOOX,0 2 3,,
 O  XXO X,,,0 2 3 7
 O  XXO  ,0 2 3 8,7,
 O  XXXOO,0 2 3,,
 O  XXXO ,,,0 2 3 8
 O  XX OX,,,0 2 3 6
 O  XX O ,0 2 3 6 8,,
 O  XXX O,,,0 2 3 7
 O  XX XO,,3,0 2 6
 O  XX  O,2 3 6,0 7,
 O  XX   ,,,0 2 3 6 7 8
 OOOX XX ,8,0,5
 OO XOXX ,8,,0 3
 OO X XXO,,,0 3 5
 OO X XX ,0 8,,3 5
 OOOX X X,0 7,,5
 OO XOX X,0 7,,3
 OO X XOX,0,,3 5
 OO X X X,0,,3 5 7
 OO X X  ,0,,3 5 7 8
 O OXOXX ,0 2 8,,
 O OX XXO,2,0 5,
 O OX XX ,,,0 2 5 8
 O OXOX X,0 2 7,,
 O OX XOX,0 2 5,,
 O OX X X,,,0 2 5 7
 O OX X  ,0 2 7 8,5,
 O  XOXXO,2,,0 3
 O  XOXX ,,,0 2 3 8
 O  XOXOX,0 2 3,,
 O  XOX X,,,0 2 3 7
 O  XOX  ,0 2 3 7 8,,
 O  X XOX,,,0 2 3 5
 O  X XO ,0 2 3 5 8,,
 O  X XXO,2,,0 3 5
 O  X X O,0 2 3 5,,7
 O  X X  ,,,0 2 3 5 7 8
 OOOX  XX,0 6,,5
 OO XO XX,0 6,,3
 OO X OXX,0,,3 5
 OO X  XX,0,,3 5 6
 OO X  X ,,0,3 5 6 8
 O OXO XX,0 2 6,,
 O OX OXX,0,,2 5
 O OX  XX,,,0 2 5 6
 O OX  X ,6 8,0 2,5
 O  XOOXX,0,2 3,
 O  XO XX,,,0 2 3 6
 O  XO X ,6 8,0 2,3
 O  X OXX,0,,2 3 5
 O  X OX ,,0 2 3 5,8
 O  X  XO,,0 2 3 5,6
 O  X  X ,,0 2 6 8,3 5
 OO X   X,0,,3 5 6 7
 O OX   X,0 2 5 6 7,,
 O  XO  X,0 2 6 7,3,
 O  X O X,0 2 3 5,,7
 O  X  OX,0 2 3 5 6,,
 O  X   X,,,0 2 3 5 6 7
 O  X    ,0 2 3 5 6 8,7,
  OOXXXOX,,0,1
  OOXXXO ,,0 1 8,
  OOXXXXO,,1,0
  OOXXX O,,0 1 7,
  OOXXX  ,,0 1 7 8,
  OOXXOXX,0,,1
  OOXXOX ,0 1,,8
  OOXX XO,1,0 6,
  OOXX X ,,1,0 6 8
  OOXXO X,0,,1 7
  OOXX OX,0,1 6,
  OOXX  X,0,,1 6 7
  OOXX   ,,0 1 6 7,8
  O XXOXO,0 1 3,,
  O XXOX ,,,0 1 3 8
  O XXOOX,0 1 3,,
  O XXO X,,,0 1 3 7
  O XXO  ,0 1 3 7 8,,
  O XXXOO,3,0 1,
  O XXXO ,,3,0 1 8
  O XX OX,,,0 1 3 6
  O XX O ,0 3 8,1 6,
  O XXX O,,3,0 1 7
  O XX XO,,,0 1 3 6
  O XX  O,1 3 7,0 6,
  O XX   ,,3,0 1 6 7 8
  OOXOXX ,1 8,,0
  OOX XXO,1,5,0
  OOX XX ,,,0 1 5 8
  OOXOX X,0 1 7,,
  OOX XOX,0,1 5,
  OOX X X,,,0 1 5 7
  OOX X  ,7 8,0 1 5,
  O XOXX ,8,,0 1 3
  O XOXOX,0,1 3,
  O XOX X,,,0 1 3 7
  O XOX  ,8,,0 1 3 7
  O X XOX,,0,1 3 5
  O X XO ,0 3,1 5 8,
  O X XXO,1 5,,0 3
  O X X O,,5,0 1 3 7
  O X X  ,,0 8,1 3 5 7
  OOXO XX,0 1 6,,
  OOX OXX,0 1,,5
  OOX  XX,,,0 1 5 6
  OOX  X ,0 1 6 8,5,
  O XOOXX,0 1 3,,
  O XO XX,,,0 1 3 6
  O XO X ,1 8,,0 3 6
  O X OXX,,,0 1 3 5
  O X OX ,0 1 3 5 8,,
  O X  XO,1 5,,0 3 6
  O X  X ,,1,0 3 5 6 8
  OOX   X,0 1 6 7,,5
  O XO  X,0 1 6 7,3,
  O X O X,0 1 3 5 7,,
  O X  OX,0 3 5,1 6,
  O X   X,,0,1 3 5 6 7
  O X    ,,0 1 3 5 6 7 8,
   OXXOXO,1,0,2
   OXXOX ,0,1,2 8
   OXXOOX,0 2,,1
   OXXO X,0,,1 2 7
   OXXO  ,,0,1 2 7 8
   OXXXOO,2,0 1,
   OXXXO ,,2,0 1 8
   OXX OX,,,0 1 2 6
   OXX O ,2 8,0 6,1
   OXXX O,,2,0 1 7
   OXX XO,,1,0 2 6
   OXX  O,,0 1 6 7,2
   OXX   ,,0 2 6 8,1 7
   OXOXXO,1 2,,0
   OXOXX ,,,0 1 2 8
   OXOXOX,0 1 2,,
   OXOX X,,,0 1 2 7
   OXOX  ,0 1 2 7 8,,
   OX XOX,,,0 1 2 5
   OX XO ,0 2 8,1 5,
   OX XXO,,,0 1 2 5
   OX X O,1 2 7,0 5,
   OX X  ,,,0 1 2 5 7 8
   OXOOXX,0 1,,2
   OXO XX,,,0 1 2 6
   OXO X ,0 1 2 6 8,,
   OX OXX,0,,1 2 5
   OX OX ,0 1,,2 5 8
   OX  XO,1 2 6,0 5,
   OX  X ,,,0 1 2 5 6 8
   OXO  X,0 1 2 6 7,,
   OX O X,0,,1 2 5 7
   OX  OX,0 2 5 6,1,
   OX   X,,,0 1 2 5 6 7
   OX    ,0 1 2 6 7 8,5,
    XOXOX,,,0 1 2 3
    XOXO ,0 2 3 8,1,
    XOXXO,2,,0 1 3
    XOX O,2,,0 1 3 7
    XOX  ,,,0 1 2 3 7 8
    XOOXX,,,0 1 2 3
    XOOX ,0 1 8,2 3,
    XO XO,1 2,,0 3 6
    XO X ,,,0 1 2 3 6 8
    XOO X,0 1 7,2 3,
    XO OX,0 2 6,1 3,
    XO  X,,,0 1 2 3 6 7
    XO   ,0 1 2 6 7 8,3,
    XXOOX,,,0 1 2 3
    XXOO ,3 8,,0 1 2
    XXOXO,,,0 1 2 3
    XXO O,3 7,,0 1 2
    XXO  ,,3,0 1 2 7 8
    X OXO,1 3 5,0 2,
    X OX ,,1,0 2 3 5 8
    X OOX,0 2 3 5,1,
    X O X,,0,1 2 3 5 7
    X O  ,,0 1 2 3 5 7 8,
    XXXOO,,,0 1 2 3
    XX OO,3 6,,0 1 2
    XX O ,,,0 1 2 3 6 8
    X XOO,0 2 3 5,1,
    X XO ,,,0 1 2 3 5 8
    X  OX,,,0 1 2 3 5 6
    X  O ,0 2 3 5 6 8,1,
    XX  O,,3,0 1 2 6 7
    X X O,,2,0 1 3 5 7
    X  XO,,1,0 2 3 5 6
    X   O,,0 1 2 3 5 6 7,
    X    ,,0 2 6 8,1 3 5 7
OO O XXX ,2 8,,4
OO  OXXX ,8,,2 3
OO   XXXO,,,2 3 4
OO   XXX ,2 8,,3 4
OO O XX X,2 7,,4
OO  OXX X,2 7,,3
OO   XXOX,2,,3 4
OO   XX X,2,,3 4 7
OO   XX  ,2,,3 4 7 8
O OO XXX ,1 8,,4
O O OXXX ,8,,1 3
O O  XXXO,,,1 3 4
O O  XXX ,1 8,,3 4
O OO XX X,7,1,4
O O OXX X,7,1,3
O O  XXOX,,1,3 4
O O  XX X,1,7,3 4
O O  XX  ,,1,3 4 7 8
O  OOXXX ,8,,1 2
O  O XXXO,4,,1 2
O  O XXX ,,,1 2 4 8
O  OOXX X,1 2 7,,
O  O XXOX,2,1 4,
O  O XX X,,,1 2 4 7
O  O XX  ,1 2 7 8,4,
O   OXXX ,8,,1 2 3
O   OXXOX,2,1,3
O   OXX X,,,1 2 3 7
O   OXX  ,8,,1 2 3 7
O    XXOX,,2,1 3 4
O    XXO ,2 4,1 8,3
O    XXXO,1 2 4,,3
O    XX O,4,,1 2 3 7
O    XX  ,,2,1 3 4 7 8
OO O X XX,2 6,,4
OO  OX XX,2 6,,3
OO   XOXX,2,,3 4
OO   X XX,2,,3 4 6
OO   X X ,2,,3 4 6 8
O OO X XX,6,,1 4
O O OX XX,6,,1 3
O O  XOXX,,,1 3 4
O O  X XX,1 6,,3 4
O O  X X ,,,1 3 4 6 8
O  OOX XX,2 6,,1
O  O X XX,6,,1 2 4
O  O X X ,6,,1 2 4 8
O   OXOXX,2,,1 3
O   OX XX,,,1 2 3 6
O   OX X ,8,,1 2 3 6
O    XOXX,2 3,,1 4
O    XOX ,,,1 2 3 4 8
O    X XO,4,,1 2 3 6
O    X X ,2 6,,1 3 4 8
OO   X  X,2,,3 4 6 7
O O  X  X,,,1 3 4 6 7
O  O X  X,2 6,,1 4 7
O   OX  X,2 6 7,1,3
O    XO X,2 3,,1 4 7
O    X OX,2 3 4,1 6,
O    X  X,2,,1 3 4 6 7
O    X   ,2,4 6,1 3 7 8
 OOO XXX ,8,0,4
 OO OXXX ,0 8,,3
 OO  XXXO,,0,3 4
 OO  XXX ,0,8,3 4
 OOO XX X,0 7,,4
 OO OXX X,7,,0 3
 OO  XXOX,,,0 3 4
 OO  XX X,0 7,,3 4
 OO  XX  ,0,,3 4 7 8
 O OOXXX ,8,0 2,
 O O XXXO,,0 2 4,
 O O XXX ,,8,0 2 4
 O OOXX X,2 7,,0
 O O XXOX,2 4,,0
 O O XX X,,,0 2 4 7
 O O XX  ,2 8,0 4 7,
 O  OXXXO,,0,2 3
 O  OXXX ,,8,0 2 3
 O  OXX X,7,,0 2 3
 O  OXX  ,,7,0 2 3 8
 O   XXOX,2 4,,0 3
 O   XXO ,4,,0 2 3 8
 O   XXXO,0,2 3 4,
 O   XX O,3 4,0,2 7
 O   XX  ,,4,0 2 3 7 8
 OOO X XX,0 6,,4
 OO OX XX,6,,0 3
 OO  XOXX,,,0 3 4
 OO  X XX,0 6,,3 4
 OO  X X ,0,,3 4 6 8
 O OOX XX,0 2 6,,
 O O XOXX,0 2,,4
 O O X XX,,,0 2 4 6
 O O X X ,8,0 2 6,4
 O  OXOXX,2,,0 3
 O  OX XX,,,0 2 3 6
 O  OX X ,8,0 2 6,3
 O   XOXX,2,,0 3 4
